"run";"classifier";"me";"rmse";"mae"
"1";1;"rf";-0,0616240490109714;1,57929562391135;1,06811581377966
"2";2;"rf";-0,0700811911054163;1,52431401792443;1,07590201809882
"3";3;"rf";-0,0428229091588585;1,52743267456303;1,08251709778169
"4";4;"rf";-0,0500802167587625;1,56229767820813;1,08321363551427
"5";5;"rf";-0,0638705987560396;1,51100126237639;1,05677754197699
"6";6;"rf";-0,0759446891433758;1,527657823248;1,06339176743814
"7";7;"rf";-0,0787911027468567;1,50260623286846;1,06479257094044
"8";8;"rf";-0,0843307306265182;1,45444167141772;1,05730836069512
"9";9;"rf";-0,0669139238141;1,49876686215117;1,06547893809562
"10";10;"rf";-0,0532651557619925;1,56211558843074;1,06562766610608
"11";1;"lr";-0,0115666058918893;1,55442351488267;1,07691540086573
"12";2;"lr";0,0299911103536183;1,57801678556145;1,0906896275945
"13";3;"lr";0,00674091084026293;1,56357007526138;1,08276947308692
"14";4;"lr";0,00882785329936243;1,54987688017583;1,07661036734475
"15";5;"lr";-0,0245120373665255;1,52147159962607;1,07434780174668
"16";6;"lr";0,0191781815353975;1,57846965552797;1,07502788455636
"17";7;"lr";0,00657750222895321;1,54128401504506;1,06242276743491
"18";8;"lr";0,00936974730888033;1,52935781736647;1,06543101059146
"19";9;"lr";-0,0118781919783442;1,5758000603996;1,0710912566011
"20";10;"lr";-0,00174298271414038;1,5475809752269;1,07396269947295
